,Date,Media Sources,Compound,Positive,Negative,Neutral,Tweet,Tweets Ago
73,Sat Jun 09 11:28:45 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @denilson_kings: @itzskizy @CNN @CNNAfrica @cnnbrk @cnni @BBC @BBCWorld @BBCBreaking @BBCAfrica @AlJazeera_World @FoxNews,74
74,Sat Jun 09 11:28:38 +0000 2018,@BBC,0.0,0.0,1.0,0.0,@LandscapeMan @BBC @NTmountstewart @FlowerdewBob We have a few of these left.... with spikes £34.99 https://t.co/DTApdXW28N,75
75,Sat Jun 09 11:28:29 +0000 2018,@BBC,-0.2732,0.086,0.784,0.129,RT @SteveLawrence_: John Humphrys patronisingly admits that the @BBC has failed in its duty to inform the public on Brexit. Maybe @BBCr4tod…,76
76,Sat Jun 09 11:28:29 +0000 2018,@BBC,-0.4335,0.097,0.696,0.207,@RichardWellings The only people that watch it are the people who agree with their sentiments. So no loss! They are… https://t.co/Pz4EUiMvoO,77
77,Sat Jun 09 11:28:25 +0000 2018,@BBC,0.3506,0.13,0.87,0.0,Dear @BBC please put Jam and Jerusalem to download online. (I have the DVDs but I’m out of the country at the mo an… https://t.co/2jZ2t55xqU,78
78,Sat Jun 09 11:28:13 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,79
79,Sat Jun 09 11:28:09 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"This @BBC coverage is servile and full of, quoting Wikipedia on Dickens' Uriah Heep, ""cloying humility, obsequiousn… https://t.co/kWH2F3neIn",80
80,Sat Jun 09 11:27:59 +0000 2018,@BBC,0.7579,0.362,0.638,0.0,@ali__samson The British people are entitled to vote on the agreement reached. This is too important a decision to… https://t.co/dMLM5NdNon,81
81,Sat Jun 09 11:27:43 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,82
82,Sat Jun 09 11:27:15 +0000 2018,@BBC,0.6696,0.219,0.781,0.0,@BBC NYC dealers are going to love this so much that they'll wear socks with them also!,83
83,Sat Jun 09 11:27:06 +0000 2018,@BBC,0.0,0.0,1.0,0.0,"RT @BBC: 😆 @Channing Tatum and @UsainBolt have all the moves.  
#TheGNShow https://t.co/ry6TVJ6b6P",84
84,Sat Jun 09 11:27:05 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @Miradasipatlle: गीता आ7 मन्त्र12 में कहा है कि तीनों गुणों से जो भी कार्य किया जा रहा है वह सब मुझसे ही होने वाला जान।अर्थात मैं सब का…,85
85,Sat Jun 09 11:26:35 +0000 2018,@BBC,0.8271,0.293,0.707,0.0,RT @NijaActivist: Finally this Sars Guy got to my best friend today #EndSars Story so long but I’m glad he’s Out @segalink @BBCBreaking @BB…,86
86,Sat Jun 09 11:26:08 +0000 2018,@BBC,0.0,0.0,1.0,0.0,RT @Miradasipatlle: गीता आ7 मन्त्र12 में कहा है कि तीनों गुणों से जो भी कार्य किया जा रहा है वह सब मुझसे ही होने वाला जान।अर्थात मैं सब का…,87
87,Sat Jun 09 11:26:03 +0000 2018,@BBC,-0.3089,0.0,0.852,0.148,"RT @BBC: 'If the oceans don't stay healthy, human beings are doomed.' 
#WorldOceansDay https://t.co/5aTLEHZ9Mi",88
